value,customs_office,type_fr,type_en
5158968.0,Tonnay-Charente,produits de la région PASA,PASA region products
5092738.0,La Rochelle,produits coloniaux,colonial products
1521979.0,La Rochelle,autres produits,other products
541447.0,Marennes,produits de la région PASA,PASA region products
488218.0,Saint-Martin-de-Ré,produits de la région PASA,PASA region products
267979.0,Rochefort,produits de la région PASA,PASA region products
238658.0,La Rochelle,produits de la région PASA,PASA region products
21372.0,Saint-Martin-de-Ré,autres produits,other products
2420.0,Marennes,autres produits,other products
487.0,Rochefort,autres produits,other products
0,Les Sables d'Olonne,autres produits,other products
0,Les Sables d'Olonne,produits coloniaux,colonial products
0,Les Sables d'Olonne,produits de la région PASA,PASA region products
0,Rochefort,produits coloniaux,colonial products
0,Tonnay-Charente,autres produits,other products
0,Tonnay-Charente,produits coloniaux,colonial products
0,Marennes,produits coloniaux,colonial products
0,Saint-Martin-de-Ré,produits coloniaux,colonial products
0,Marans,autres produits,other products
0,Marans,produits coloniaux,colonial products
0,Marans,produits de la région PASA,PASA region products
