year,type,portion
1720,import,0.030018476042849403
1720,export,0.03470084356390468
1721,import,0.03563645386657569
1721,export,0.0510373585433314
1722,import,0.048461456867902465
1722,export,0.03704688210109489
1723,import,0.02873651269606384
1723,export,0.028016170751493732
1724,import,0.04072881288503534
1724,export,0.0323692310192494
1725,import,0.027937989663409008
1725,export,0.028481867144834125
1726,import,0.016442514922381073
1726,export,0.022918987630246315
1727,import,0.031158258085433196
1727,export,0.033631484707502025
1728,import,0.028781919044442657
1728,export,0.03469617657875626
1729,import,0.022915675577151726
1729,export,0.03072523048857968
1730,import,0.027718129489221817
1730,export,0.03163350271148217
1731,import,0.024386694431219054
1731,export,0.029284671182566873
1732,import,0.025665269663461752
1732,export,0.03245018869948449
1733,import,0.02047425443967242
1733,export,0.029854887491295223
1734,import,0.02850162738012636
1734,export,0.03607407146952422
1735,import,0.024464836373502292
1735,export,0.03595671238519252
1736,import,0.025828464892287736
1736,export,0.0283988115707248
1737,import,0.025023719467546342
1737,export,0.026910536938902982
1738,import,0.025502744959949038
1738,export,0.027237795672015647
1739,import,0.02590067418834109
1739,export,0.02308685241766758
1740,import,0.025431963517820042
1740,export,0.025538285090982816
1741,import,0.017358050257762096
1741,export,0.023756183055376495
1742,import,0.0
1742,export,0.0
1743,import,0.0
1743,export,0.0
1744,import,0.018102389175153763
1744,export,0.018043898090207944
1745,import,0.0
1745,export,0.0
1746,import,0.03128891252576476
1746,export,0.040033135070243885
1747,import,0.03529119580192451
1747,export,0.11529652239613698
1748,import,0.02591548022258003
1748,export,0.04696971693996864
1749,import,0.022768184070054744
1749,export,0.027015853610039615
1750,import,0.02466740025017455
1750,export,0.020936722383437318
1751,import,0.019001265980349007
1751,export,0.02493193890831481
1752,import,0.017404243852574806
1752,export,0.018173931142046577
1753,import,0.015633999730355543
1753,export,0.016678284188890943
1754,import,0.01940293231160522
1754,export,0.01789464553838832
1755,import,0.0
1755,export,0.0
1756,import,0.017056687061056685
1756,export,0.01794690151932216
1757,import,0.021603044663834267
1757,export,0.025485849231237763
1758,import,0.008523278051600025
1758,export,0.01850079296262999
1759,import,0.007931052520584467
1759,export,0.01055156982724034
1760,import,0.009629893540730577
1760,export,0.011173974561188568
1761,import,0.005554176963345759
1761,export,0.014040456238702006
1762,import,0.004906744133533511
1762,export,0.007382548886897256
1763,import,0.0
1763,export,0.0
1764,import,0.01581802911291061
1764,export,0.0
1765,import,0.007741683144278275
1765,export,0.013735596638167697
1766,import,0.009743565112114787
1766,export,0.01576313116410851
1767,import,0.011646678872111725
1767,export,0.011752829214417193
1768,import,0.01412764002614999
1768,export,0.012850639768226597
1769,import,0.008797322676362967
1769,export,0.010078064798930858
1770,import,0.007341156538921396
1770,export,0.009692881192548837
1771,import,0.007503362047555991
1771,export,0.008520964449943743
1772,import,0.010990155720479657
1772,export,0.015089232813876922
1773,import,0.0160321125083044
1773,export,0.024716818352618405
1774,import,0.016728000759229224
1774,export,0.018842640079468526
1775,import,0.016407989066693007
1775,export,0.018648802514337252
1776,import,0.013939185812674603
1776,export,0.022089856451534162
1777,import,0.0
1777,export,0.0
1778,import,0.0142344595640247
1778,export,0.011836960462759486
1779,import,0.009208137468125604
1779,export,0.009040261479844863
1780,import,0.00806383516492156
1780,export,0.008717515292798336
1781,import,0.0
1781,export,0.0
1782,import,0.0
1782,export,0.0
1783,import,0
1783,export,0
1784,import,0
1784,export,0
1785,import,0
1785,export,0
1786,import,0
1786,export,0
1787,import,0.0
1787,export,0.0
1788,import,0.0
1788,export,0.0
1789,import,0.009835232274262987
1789,export,0.012373241522430472
