port,latitude,longitude,customs_office,province,admiralty,customs_region
La Tremblade,45.766667,-1.133333,Marennes,Saintonge,Marennes,La Rochelle
Saint-Martin-de-Ré,46.2,-1.366667,Saint-Martin-de-Ré,Aunis,La Rochelle,La Rochelle
La Tranche-sur-Mer,46.333333,-1.433333,Les Sables-d'Olonne,Poitou,Sables-d’Olonne,La Rochelle
La Flotte-en-Ré,46.188459,-1.328716,Saint-Martin-de-Ré,Aunis,La Rochelle,La Rochelle
Esnandes,46.25,-1.083333,La Rochelle,Aunis,La Rochelle,La Rochelle
Royan,45.633333,-1.033333,Marennes,Saintonge,Marennes,La Rochelle
Saint-Michel-en-l'Herm,46.35,-1.25,Les Sables-d'Olonne,Poitou,Sables-d’Olonne,La Rochelle
Brouage ,45.866667,-1.066667,Marennes,Saintonge,Marennes,La Rochelle
Les Sables-d'Olonne,46.5,-1.783333,Les Sables-d'Olonne,Poitou,Sables-d’Olonne,La Rochelle
île de Ré,46.2,-1.416667,Saint-Martin-de-Ré,Aunis,La Rochelle,La Rochelle
Mortagne,45.483333,-0.783333,Marennes,Saintonge,Marennes,La Rochelle
île de Bouin,46.975134,-1.998682,ile de Bouin : hors DFLR,Poitou,Sables-d’Olonne,La Rochelle
l'Aiguillon,46.333333,-1.3,Les Sables-d'Olonne,Poitou,Sables-d’Olonne,La Rochelle
Champagné-les-Marais,46.366667,-1.133333,Les Sables-d'Olonne,Poitou,Sables-d’Olonne,La Rochelle
mer des Pertuis,46.044980, -1.204802,La Rochelle,Aunis,La Rochelle,La Rochelle
Moricq,46.396209,-1.374028,Les Sables-d'Olonne,Poitou,Sables-d’Olonne,La Rochelle
Seudre,45.8,-1.15,Marennes,Saintonge,Marennes,La Rochelle
La Perrotine,45.964614,-1.243436,Marennes,Saintonge,Marennes,La Rochelle
île d'Yeu,46.716667,-2.333333,Les Sables-d'Olonne,Poitou,Sables-d’Olonne,La Rochelle
Châlon,45.724946,-0.963790,Marennes,Saintonge,Marennes,La Rochelle
Le Chapus,45.850601,-1.15325,Marennes,Saintonge,Marennes,La Rochelle
Tonnay-Charente,45.95,-0.9,Tonnay-Charente,Saintonge,Marennes,La Rochelle
Marennes,45.816667,-1.116667,Marennes,Saintonge,Marennes,La Rochelle
Rochefort,45.943666,-0.97043,Rochefort,Aunis,La Rochelle,La Rochelle
Noirmoutier,47,-2.25,Les Sables-d'Olonne,Poitou,Sables-d’Olonne,La Rochelle
Soubise,45.933333,-1,Marennes,Aunis,La Rochelle,La Rochelle
île d'Oléron,45.933333,-1.3,Marennes,Saintonge,Marennes,La Rochelle
Saint-Gilles-sur-Vie,46.697882,-1.945124,Les Sables-d'Olonne,Poitou,Sables-d’Olonne,La Rochelle
Martrou,45.91367,-0.959895,Marennes,Saintonge,Marennes,La Rochelle
Ars-en-Ré,46.216667,-1.516667,Saint-Martin-de-Ré,Aunis,La Rochelle,La Rochelle
Marans,46.312468,-0.995682,Marans,Aunis,La Rochelle,La Rochelle
Le Château-d'Oléron,45.9,-1.2,Marennes,Saintonge,Marennes,La Rochelle
Saint-Denis d'Oléron,46.033333,-1.383333,Marennes,Saintonge,Marennes,La Rochelle
Ribérou,45.6755,-0.935826,Marennes,Saintonge,Marennes,La Rochelle
La Rochelle,46.166667,-1.15,La Rochelle,Aunis,La Rochelle,La Rochelle
